,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
392,392,392,392,392,392,pombas,20,CV,1579715209,44,17.15,-25.02,80.6,14.99
393,393,393,393,393,393,nome,90,US,1579715210,84,64.5,-165.41,7.0,4.47
394,394,394,394,394,394,karasjok,75,NO,1579715210,79,69.47,25.51,23.0,39.15
395,395,395,395,395,395,lepley,98,RU,1579715210,94,54.31,42.86,28.96,6.93
396,396,396,396,396,396,yarmouth,1,US,1579715039,40,41.71,-70.23,36.0,5.99
397,397,397,397,397,397,funadhoo,49,MV,1579715211,80,6.15,73.27,83.71,21.74
398,398,398,398,398,398,kedrovyy,33,RU,1579715211,75,56.17,91.82,-13.0,5.66
399,399,399,399,399,399,college,75,US,1579715211,76,64.86,-147.8,-5.8,0.94
400,400,400,400,400,400,tual,89,ID,1579715211,79,-5.67,132.75,82.09,11.18
401,401,401,401,401,401,sisimiut,100,GL,1579715211,96,66.94,-53.67,7.14,9.22
402,402,402,402,402,402,beesel,90,NL,1579715211,100,51.27,6.04,39.99,1.12
403,403,403,403,403,403,manggar,67,ID,1579715211,77,-2.88,108.27,82.29,6.42
404,404,404,404,404,404,aktash,100,RU,1579715211,81,50.3,87.73,0.45,7.94
405,405,405,405,405,405,nereju,40,RO,1579715212,19,45.72,26.72,48.2,20.8
406,406,406,406,406,406,kodarma,0,IN,1579715212,60,24.47,85.6,59.86,4.38
407,407,407,407,407,407,pryazha,100,RU,1579715212,58,61.69,33.62,26.6,15.66
408,408,408,408,408,408,seoul,90,KR,1579715212,69,37.57,126.98,35.6,2.93
409,409,409,409,409,409,yinchuan,0,CN,1579715212,52,38.47,106.27,23.14,2.37
410,410,410,410,410,410,suntar,100,RU,1579715212,92,62.14,117.63,-18.63,7.0
411,411,411,411,411,411,yerbogachen,24,RU,1579715016,97,61.28,108.01,-35.7,5.53
412,412,412,412,412,412,taoudenni,82,ML,1579715287,18,22.68,-3.98,72.0,5.26
413,413,413,413,413,413,tsabong,0,BW,1579715287,13,-26.02,22.4,88.43,6.11
414,414,414,414,414,414,buturlino,74,RU,1579715288,93,55.57,44.9,24.26,10.29
415,415,415,415,415,415,vangaindrano,100,MG,1579715288,96,-23.35,47.6,68.25,3.83
416,416,416,416,416,416,voh,0,NC,1579715288,75,-20.97,164.7,74.91,6.02
417,417,417,417,417,417,deoria,0,IN,1579715288,66,26.5,83.79,54.37,7.61
418,418,418,418,418,418,port lincoln,84,CD,1579715288,75,-7.03,29.76,76.51,0.74
419,419,419,419,419,419,doka,9,SD,1579715288,23,13.52,35.77,69.96,10.54
420,420,420,420,420,420,garissa,82,KE,1579715288,44,-0.45,39.64,85.96,2.59
421,421,421,421,421,421,ustye,97,RU,1579715289,86,59.63,39.74,25.27,13.42
422,422,422,422,422,422,miraflores,5,MX,1579715289,34,19.22,-98.81,69.8,5.82
423,423,423,423,423,423,vrangel,0,RU,1579715289,73,42.73,133.08,31.08,9.28
424,424,424,424,424,424,fort nelson,93,NL,1579715289,100,52.65,6.39,46.0,2.24
425,425,425,425,425,425,harboore,85,DK,1579715289,87,56.62,8.18,39.99,6.93
426,426,426,426,426,426,point fortin,75,ZA,1579715289,69,-29.86,31.04,78.01,11.41
427,427,427,427,427,427,yakeshi,98,CN,1579715289,98,49.28,120.73,-4.86,9.26
428,428,428,428,428,428,svetlogorsk,83,BY,1579715290,71,52.63,29.73,33.22,15.84
429,429,429,429,429,429,dunedin,28,NZ,1579715290,92,-45.87,170.5,61.0,11.23
430,430,430,430,430,430,margate,75,GB,1579715290,100,51.38,1.39,46.0,4.41
431,431,431,431,431,431,yulara,0,AU,1579715290,28,-25.24,130.99,86.0,9.17
432,432,432,432,432,432,conil,97,FR,1579715290,80,44.97,3.72,39.2,2.37
433,433,433,433,433,433,nizhniy kuranakh,20,RU,1579715290,75,45.39,39.24,48.0,24.61
434,434,434,434,434,434,sao miguel do oeste,65,IN,1579715290,41,20.51,76.21,75.06,1.97
435,435,435,435,435,435,zemio,99,CF,1579715290,28,5.03,25.14,74.79,2.98
436,436,436,436,436,436,praya,100,CV,1579715366,44,14.92,-23.51,78.8,13.87
